sample annotationSample annotation numSpecies totRelAbundance
XUB-064 XUB-001 strainsShared 30 0.90153197203607
XUB-064 XUB-001 strainsUnknown 20 0.056447671566498
XVA-001 XVA-064 speciesNotShared 106 0.119995092831407
XVA-001 XVA-064 strainsShared 27 0.81121943395352
XVA-001 XVA-064 strainsUnknown 13 0.0687854732150049
XVA-064 XVA-001 speciesNotShared 71 0.0108641180509687
XVA-064 XVA-001 strainsShared 27 0.95768666862102
XVA-064 XVA-001 strainsUnknown 16 0.031449213328232
XVB-001 XVB-064 speciesNotShared 115 0.0441592683036895
XVB-001 XVB-064 strainsShared 29 0.91364275244488
XVB-001 XVB-064 strainsUnknown 13 0.0421979792524877
XVB-064 XVB-001 speciesNotShared 118 0.0130610411489449
XVB-064 XVB-001 strainsShared 29 0.91910827699617
XVB-064 XVB-001 strainsUnknown 15 0.067830681854919
