sample annotationSample annotation numSpecies totRelAbundance
XAC-036 XAA-652 strainsUnknown 19 0.155410012584682
XAC-036 XAC-002 speciesNotShared 56 0.0154586888435907
XAC-036 XAC-002 strainsUnknown 41 0.984541311155841
XAC-036 XAC-029 speciesNotShared 55 0.0143048787667766
XAC-036 XAC-029 strainsUnknown 42 0.985695121232655
XAC-036 XAC-036 speciesNotShared 61 0.0130984170641017
XAC-036 XAC-036 strainsUnknown 36 0.98690158293533
XAC-036 XAC-064 speciesNotShared 67 0.0240639266822876
XAC-036 XAC-064 strainsUnknown 30 0.975936073317144
XAC-036 XAC-224 speciesNotShared 53 0.0113798451055997
XAC-036 XAC-224 strainsUnknown 44 0.988620154893832
XAC-036 XAD-003 speciesNotShared 78 0.736499547565795
XAC-036 XAD-003 strainsNotShared 4 0.17749343708894
XAC-036 XAD-003 strainsUnknown 15 0.0860070153446966
XAC-036 XAD-029 speciesNotShared 73 0.378803290360359
XAC-036 XAD-029 strainsNotShared 4 0.4677843425446
XAC-036 XAD-029 strainsUnknown 20 0.153412367094473
XAC-036 XAD-036 speciesNotShared 75 0.730578984656263
XAC-036 XAD-036 strainsNotShared 5 0.1828404830027
XAC-036 XAD-036 strainsUnknown 17 0.0865805323404686
XAC-036 XAD-063 speciesNotShared 73 0.727402910206227
XAC-036 XAD-063 strainsNotShared 4 0.1189879137739
XAC-036 XAD-063 strainsUnknown 20 0.153609176019305
XAC-036 XAD-225 speciesNotShared 73 0.370756872826163
XAC-036 XAD-225 strainsNotShared 5 0.1828404830027
XAC-036 XAD-225 strainsUnknown 19 0.446402644170569
XAC-064 XAA-002 speciesNotShared 60 0.312445097480825
XAC-064 XAA-002 strainsNotShared 6 0.43423812050302
XAC-064 XAA-002 strainsShared 1 0.00535686800357
XAC-064 XAA-002 strainsUnknown 18 0.247959914012856
XAC-064 XAA-029 speciesNotShared 54 0.188992653234221
XAC-064 XAA-029 strainsNotShared 2 0.396304167798
XAC-064 XAA-029 strainsUnknown 29 0.41470317896805
XAC-064 XAA-036 speciesNotShared 77 0.831259151524563
XAC-064 XAA-036 strainsUnknown 8 0.168740848475708
XAC-064 XAA-064 speciesNotShared 69 0.59543783959039
XAC-064 XAA-064 strainsNotShared 1 0.188873693727
XAC-064 XAA-064 strainsUnknown 15 0.215688466682881
XAC-064 XAA-652 speciesNotShared 58 0.338936946418398
XAC-064 XAA-652 strainsNotShared 6 0.42613488214449
XAC-064 XAA-652 strainsShared 1 0.00574144729316
XAC-064 XAA-652 strainsUnknown 20 0.229186724144223
XAC-064 XAC-002 speciesNotShared 44 0.00847731652397775
XAC-064 XAC-002 strainsUnknown 41 0.991522683476293
XAC-064 XAC-029 speciesNotShared 43 0.00766539752371115
XAC-064 XAC-029 strainsUnknown 42 0.99233460247656
XAC-064 XAC-036 speciesNotShared 49 0.0256485867937378
XAC-064 XAC-036 strainsUnknown 36 0.974351413206533
XAC-064 XAC-064 speciesNotShared 55 0.00988607708555095
XAC-064 XAC-064 strainsUnknown 30 0.99011392291472
XAC-064 XAC-224 speciesNotShared 41 0.00974210662077395
XAC-064 XAC-224 strainsUnknown 44 0.990257893379497
XAC-064 XAD-003 speciesNotShared 66 0.59099837751111
XAC-064 XAD-003 strainsNotShared 4 0.23311052883037
XAC-064 XAD-003 strainsUnknown 15 0.175891093658791
XAC-064 XAD-029 speciesNotShared 63 0.360356919584469
XAC-064 XAD-029 strainsNotShared 4 0.41982145771667
XAC-064 XAD-029 strainsUnknown 18 0.219821622699132
XAC-064 XAD-036 speciesNotShared 64 0.587197627947657
XAC-064 XAD-036 strainsNotShared 3 0.23094776398967
XAC-064 XAD-036 strainsUnknown 18 0.181854608062944
XAC-064 XAD-063 speciesNotShared 62 0.586935076624987
XAC-064 XAD-063 strainsNotShared 3 0.21665518488196
XAC-064 XAD-063 strainsUnknown 20 0.196409738493324
XAC-064 XAD-225 speciesNotShared 62 0.354062377561757
XAC-064 XAD-225 strainsNotShared 3 0.23094776398967
XAC-064 XAD-225 strainsUnknown 20 0.414989858448844
XAC-224 XAA-002 speciesNotShared 86 0.380889268243203
XAC-224 XAA-002 strainsNotShared 7 0.4091939847698
XAC-224 XAA-002 strainsShared 1 0.0159027927977
XAC-224 XAA-002 strainsUnknown 14 0.194013954189626
XAC-224 XAA-029 speciesNotShared 79 0.296247351118074
XAC-224 XAA-029 strainsNotShared 3 0.2765193132721
XAC-224 XAA-029 strainsUnknown 26 0.427233335610155
XAC-224 XAA-036 speciesNotShared 99 0.923365971822683
XAC-224 XAA-036 strainsUnknown 9 0.0766340281776452
XAC-224 XAA-064 speciesNotShared 94 0.771234742696792
XAC-224 XAA-064 strainsNotShared 2 0.1260710354452
XAC-224 XAA-064 strainsUnknown 12 0.102694221858337
XAC-224 XAA-652 speciesNotShared 83 0.526262018649414
XAC-224 XAA-652 strainsNotShared 4 0.3110022498422
XAC-224 XAA-652 strainsUnknown 21 0.162735731508714
XAC-224 XAC-002 speciesNotShared 67 0.0576182543192326
XAC-224 XAC-002 strainsUnknown 41 0.942381745681096
XAC-224 XAC-029 speciesNotShared 67 0.0303309569257696
XAC-224 XAC-029 strainsUnknown 41 0.969669043074559
XAC-224 XAC-036 speciesNotShared 72 0.0667777558163626
XAC-224 XAC-036 strainsUnknown 36 0.933222244183966
XAC-224 XAC-064 speciesNotShared 78 0.0982341185186856
XAC-224 XAC-064 strainsUnknown 30 0.901765881481643
XAC-224 XAC-224 speciesNotShared 64 0.0150043208432286
XAC-224 XAC-224 strainsUnknown 44 0.9849956791571
XAC-224 XAD-003 speciesNotShared 90 0.631232430663168
XAC-224 XAD-003 strainsNotShared 5 0.2776858683859
XAC-224 XAD-003 strainsUnknown 13 0.0910817009512605
XAC-224 XAD-029 speciesNotShared 87 0.491099982436232
XAC-224 XAD-029 strainsNotShared 4 0.3486817944238
XAC-224 XAD-029 strainsUnknown 17 0.160218223140296
XAC-224 XAD-036 speciesNotShared 88 0.622128320692442
XAC-224 XAD-036 strainsNotShared 4 0.2673037916607
XAC-224 XAD-036 strainsUnknown 16 0.110567887647186
XAC-224 XAD-063 speciesNotShared 84 0.615890961925203
XAC-224 XAD-063 strainsNotShared 5 0.21965808754186
XAC-224 XAD-063 strainsUnknown 19 0.164450950533265
XAC-224 XAD-225 speciesNotShared 86 0.480059419643042
XAC-224 XAD-225 strainsNotShared 5 0.2776858683859
XAC-224 XAD-225 strainsUnknown 17 0.242254711971386
XAD-003 XAA-002 speciesNotShared 56 0.197215704803147
XAD-003 XAA-002 strainsNotShared 8 0.6910480735446
XAD-003 XAA-002 strainsUnknown 4 0.111736221652686
XAD-003 XAA-029 speciesNotShared 51 0.374328616580691
XAD-003 XAA-029 strainsNotShared 1 0.315703068436
XAD-003 XAA-029 strainsUnknown 16 0.309968314983742
XAD-003 XAA-036 speciesNotShared 57 0.878201098342305
XAD-003 XAA-036 strainsUnknown 11 0.121798901658128
XAD-003 XAA-064 speciesNotShared 51 0.597633744874579
XAD-003 XAA-064 strainsNotShared 4 0.27684363171979
XAD-003 XAA-064 strainsUnknown 13 0.125522623406064
XAD-003 XAA-652 speciesNotShared 44 0.12704221281616
XAD-003 XAA-652 strainsNotShared 4 0.63629719736249
XAD-003 XAA-652 strainsUnknown 20 0.236660589821783
XAD-003 XAC-002 speciesNotShared 52 0.401957767203684
XAD-003 XAC-002 strainsNotShared 4 0.43436397304179
XAD-003 XAC-002 strainsUnknown 12 0.163678259754959
XAD-003 XAC-029 speciesNotShared 52 0.378513908976799
XAD-003 XAC-029 strainsNotShared 7 0.47690720901378
XAD-003 XAC-029 strainsUnknown 9 0.144578882009854
XAD-003 XAC-036 speciesNotShared 54 0.408977621436893
XAD-003 XAC-036 strainsNotShared 4 0.43436397304179
XAD-003 XAC-036 strainsUnknown 10 0.15665840552175
XAD-003 XAC-064 speciesNotShared 58 0.429463560132003
XAD-003 XAC-064 strainsNotShared 4 0.43436397304179
XAD-003 XAC-064 strainsUnknown 6 0.13617246682664
XAD-003 XAC-224 speciesNotShared 49 0.382730254321686
XAD-003 XAC-224 strainsNotShared 5 0.36483951033588
XAD-003 XAC-224 strainsUnknown 14 0.252430235342868
XAD-003 XAD-003 speciesNotShared 38 0.00888662290071335
XAD-003 XAD-003 strainsUnknown 30 0.99111337709972
XAD-003 XAD-029 speciesNotShared 35 0.0104789250900843
XAD-003 XAD-029 strainsUnknown 33 0.989521074910349
XAD-003 XAD-036 speciesNotShared 38 0.0162571563137061
XAD-003 XAD-036 strainsUnknown 30 0.983742843686727
XAD-003 XAD-063 speciesNotShared 35 0.0120024996552772
XAD-003 XAD-063 strainsUnknown 33 0.987997500345156
XAD-003 XAD-225 speciesNotShared 38 0.0304113226614662
XAD-003 XAD-225 strainsUnknown 30 0.969588677338967
XAD-029 XAA-002 speciesNotShared 58 0.138587686615302
XAD-029 XAA-002 strainsNotShared 7 0.72579322113712
XAD-029 XAA-002 strainsUnknown 8 0.135619092247082
XAD-029 XAA-029 speciesNotShared 53 0.222901128719354
XAD-029 XAA-029 strainsNotShared 2 0.4934972100877
XAD-029 XAA-029 strainsUnknown 18 0.28360166119245
XAD-029 XAA-036 speciesNotShared 65 0.862863935089099
XAD-029 XAA-036 strainsUnknown 8 0.137136064910405
XAD-029 XAA-064 speciesNotShared 54 0.729074145496995
XAD-029 XAA-064 strainsNotShared 2 0.1154897016387
XAD-029 XAA-064 strainsUnknown 17 0.155436152863809
XAD-029 XAA-652 speciesNotShared 45 0.083479905492994
XAD-029 XAA-652 strainsNotShared 5 0.7281247105047
