subject	timepoint	sample
XIB	30	XIB-030
XIB	31	XIB-031
XIB	32	XIB-032
XIB	33	XIB-033
XIB	34	XIB-034
XIB	35	XIB-035
XIB	36	XIB-036
XIB	37	XIB-037
XIB	38	XIB-038
XIB	39	XIB-039
XIB	40	XIB-040
XIB	43	XIB-043
XIB	50	XIB-050
XIB	57	XIB-057
XIB	64	XIB-064
XIB	199	XIB-199
XIB	259	XIB-259
XIB	277	XIB-277
XIC	8	XIC-008
XIC	15	XIC-015
XIC	22	XIC-022
XIC	23	XIC-023
XIC	24	XIC-024
XIC	25	XIC-025
XIC	26	XIC-026
XIC	27	XIC-027
XIC	28	XIC-028
XIC	29	XIC-029
XIC	30	XIC-030
XIC	31	XIC-031
XIC	32	XIC-032
XIC	33	XIC-033
XIC	34	XIC-034
XIC	35	XIC-035
XIC	36	XIC-036
XIC	39	XIC-039
XIC	43	XIC-043
XIC	50	XIC-050
XIC	57	XIC-057
XIC	64	XIC-064
XIC	198	XIC-198
XJA	1	XJA-001
XJA	8	XJA-008
XJA	15	XJA-015
XJA	22	XJA-022
XJA	23	XJA-023
XJA	24	XJA-024
XJA	25	XJA-025
XJA	26	XJA-026
XJA	27	XJA-027
XJA	28	XJA-028
XJA	29	XJA-029
XJA	30	XJA-030
XJA	31	XJA-031
XJA	32	XJA-032
XJA	33	XJA-033
XJA	34	XJA-034
XJA	35	XJA-035
XJA	36	XJA-036
XJA	37	XJA-037
XJA	38	XJA-038
XJA	39	XJA-039
XJA	40	XJA-040
XJA	43	XJA-043
XJA	50	XJA-050
XJA	57	XJA-057
XJA	64	XJA-064
XJB	1	XJB-001
XJB	8	XJB-008
XJB	15	XJB-015
XJB	22	XJB-022
XJB	23	XJB-023
XJB	24	XJB-024
XJB	25	XJB-025
XJB	26	XJB-026
XJB	27	XJB-027
XJB	28	XJB-028
XJB	29	XJB-029
XJB	30	XJB-030
XJB	31	XJB-031
XJB	32	XJB-032
XJB	33	XJB-033
XJB	34	XJB-034
XJB	35	XJB-035
XJB	36	XJB-036
XJB	37	XJB-037
XJB	38	XJB-038
XJB	39	XJB-039
XJB	40	XJB-040
XJB	43	XJB-043
XJB	50	XJB-050
XJB	57	XJB-057
XJB	64	XJB-064
XKA	1	XKA-001
XKA	8	XKA-008
XKA	15	XKA-015
XKA	22	XKA-022
XKA	23	XKA-023
XKA	24	XKA-024
XKA	25	XKA-025
XKA	26	XKA-026
XKA	27	XKA-027
XKA	28	XKA-028
XKA	29	XKA-029
XKA	30	XKA-030
XKA	31	XKA-031
XKA	32	XKA-032
XKA	33	XKA-033
XKA	34	XKA-034
XKA	35	XKA-035
XKA	36	XKA-036
XKA	37	XKA-037
XKA	38	XKA-038
XKA	39	XKA-039
XKA	40	XKA-040
XKA	43	XKA-043
XKA	50	XKA-050
XKA	57	XKA-057
XKA	64	XKA-064
XKA	142	XKA-142
XKA	205	XKA-205
XKA	289	XKA-289
XKA	332	XKA-332
XKA	359	XKA-359
XKA	386	XKA-386
XKA	422	XKA-422
