sample subject timepoint hh
XKA-037 XKA 37 XK
XKA-038 XKA 38 XK
XKA-039 XKA 39 XK
XKA-040 XKA 40 XK
XKA-043 XKA 43 XK
XKA-050 XKA 50 XK
XKA-057 XKA 57 XK
XKA-289 XKA 289 XK
XKA-332 XKA 332 XK
XKA-359 XKA 359 XK
XKA-386 XKA 386 XK
XKA-422 XKA 422 XK
XKB-287 XKB 287 XK
XKB-332 XKB 332 XK
XKB-381 XKB 381 XK
XKB-399 XKB 399 XK
XLA-008 XLA 8 XL
XLA-022 XLA 22 XL
XLA-023 XLA 23 XL
XLA-024 XLA 24 XL
XLA-025 XLA 25 XL
XLA-026 XLA 26 XL
XLA-027 XLA 27 XL
XLA-028 XLA 28 XL
XLA-030 XLA 30 XL
XLA-031 XLA 31 XL
XLA-032 XLA 32 XL
XLA-033 XLA 33 XL
XLA-034 XLA 34 XL
XLA-035 XLA 35 XL
XLA-037 XLA 37 XL
XLA-043 XLA 43 XL
XLA-050 XLA 50 XL
XLA-057 XLA 57 XL
XLB-294 XLB 294 XL
XMA-008 XMA 8 XM
XMA-015 XMA 15 XM
XMA-022 XMA 22 XM
XMA-023 XMA 23 XM
XMA-024 XMA 24 XM
XMA-025 XMA 25 XM
XMA-026 XMA 26 XM
XMA-027 XMA 27 XM
XMA-028 XMA 28 XM
XMA-030 XMA 30 XM
XMA-031 XMA 31 XM
XMA-032 XMA 32 XM
XMA-034 XMA 34 XM
XMA-035 XMA 35 XM
XMA-037 XMA 37 XM
XMA-038 XMA 38 XM
XMA-039 XMA 39 XM
XMA-040 XMA 40 XM
XMA-043 XMA 43 XM
XMA-050 XMA 50 XM
XMA-057 XMA 57 XM
XMA-264 XMA 264 XM
XMA-359 XMA 359 XM
XMB-264 XMB 264 XM
XMB-359 XMB 359 XM
XNA-008 XNA 8 XN
XNA-015 XNA 15 XN
XNA-022 XNA 22 XN
XNA-023 XNA 23 XN
XNA-024 XNA 24 XN
XNA-025 XNA 25 XN
XNA-026 XNA 26 XN
XNA-027 XNA 27 XN
XNA-028 XNA 28 XN
XNA-030 XNA 30 XN
XNA-031 XNA 31 XN
XNA-032 XNA 32 XN
XNA-033 XNA 33 XN
XNA-034 XNA 34 XN
XNA-037 XNA 37 XN
XNA-038 XNA 38 XN
XNA-039 XNA 39 XN
XNA-040 XNA 40 XN
XNA-043 XNA 43 XN
XNA-050 XNA 50 XN
XNA-057 XNA 57 XN
XOA-008 XOA 8 XO
XOA-015 XOA 15 XO
XOA-021 XOA 21 XO
XOA-022 XOA 22 XO
XOA-023 XOA 23 XO
XOA-024 XOA 24 XO
XOA-025 XOA 25 XO
XOA-026 XOA 26 XO
XOA-027 XOA 27 XO
XOA-028 XOA 28 XO
XOA-030 XOA 30 XO
XOA-031 XOA 31 XO
XOA-032 XOA 32 XO
XOA-033 XOA 33 XO
XOA-034 XOA 34 XO
XOA-035 XOA 35 XO
XOA-037 XOA 37 XO
XOA-038 XOA 38 XO
XOA-039 XOA 39 XO
XOA-043 XOA 43 XO
XOA-050 XOA 50 XO
XOA-057 XOA 57 XO
XOA-220 XOA 220 XO
XOB-220 XOB 220 XO
XPA-009 XPA 9 XP
XPA-019 XPA 19 XP
XPA-023 XPA 23 XP
XPA-030 XPA 30 XP
XPA-031 XPA 31 XP
XPA-032 XPA 32 XP
XPA-035 XPA 35 XP
XPA-037 XPA 37 XP
XPA-039 XPA 39 XP
XPA-043 XPA 43 XP
XPA-049 XPA 49 XP
XPA-056 XPA 56 XP
XQA-009 XQA 9 XQ
XQA-015 XQA 15 XQ
XQA-022 XQA 22 XQ
XQA-024 XQA 24 XQ
XQA-025 XQA 25 XQ
XQA-026 XQA 26 XQ
XQA-027 XQA 27 XQ
XQA-028 XQA 28 XQ
XQA-030 XQA 30 XQ
XQA-031 XQA 31 XQ
XQA-032 XQA 32 XQ
XQA-033 XQA 33 XQ
XQA-034 XQA 34 XQ
XQA-035 XQA 35 XQ
XQA-037 XQA 37 XQ
XQA-038 XQA 38 XQ
XQA-039 XQA 39 XQ
XQA-040 XQA 40 XQ
XQA-043 XQA 43 XQ
XQA-050 XQA 50 XQ
XQA-057 XQA 57 XQ
XQA-244 XQA 244 XQ
XQA-351 XQA 351 XQ
XQB-243 XQB 243 XQ
XQB-348 XQB 348 XQ
XRA-008 XRA 8 XR
XRA-015 XRA 15 XR
XRA-022 XRA 22 XR
XRA-023 XRA 23 XR
XRA-024 XRA 24 XR
XRA-025 XRA 25 XR
XRA-026 XRA 26 XR
XRA-027 XRA 27 XR
XRA-028 XRA 28 XR
XRA-030 XRA 30 XR
XRA-031 XRA 31 XR
XRA-032 XRA 32 XR
XRA-033 XRA 33 XR
XRA-034 XRA 34 XR
XRA-035 XRA 35 XR
XRA-037 XRA 37 XR
XRA-038 XRA 38 XR
XRA-039 XRA 39 XR
XRA-040 XRA 40 XR
XRA-045 XRA 45 XR
XRA-052 XRA 52 XR
XRA-059 XRA 59 XR
XRA-310 XRA 310 XR
XRB-305 XRB 305 XR
XRB-347 XRB 347 XR
XSA-008 XSA 8 XS
XSA-015 XSA 15 XS
XSA-022 XSA 22 XS
XSA-023 XSA 23 XS
XSA-024 XSA 24 XS
XSA-025 XSA 25 XS
XSA-026 XSA 26 XS
XSA-027 XSA 27 XS
XSA-028 XSA 28 XS
XSA-030 XSA 30 XS
XSA-031 XSA 31 XS
XSA-032 XSA 32 XS
XSA-033 XSA 33 XS
XSA-034 XSA 34 XS
XSA-035 XSA 35 XS
XSA-037 XSA 37 XS
XSA-038 XSA 38 XS
XSA-039 XSA 39 XS
XSA-040 XSA 40 XS
XSA-043 XSA 43 XS
XSA-050 XSA 50 XS
XSA-057 XSA 57 XS
XSA-239 XSA 239 XS
XSA-333 XSA 333 XS
XSA-428 XSA 428 XS
XSB-240 XSB 240 XS
XSB-333 XSB 333 XS
XSB-428 XSB 428 XS
XTA-008 XTA 8 XT
XTA-016 XTA 16 XT
XTA-022 XTA 22 XT
XTA-023 XTA 23 XT
XTA-024 XTA 24 XT
XTA-026 XTA 26 XT
XTA-027 XTA 27 XT
XTA-028 XTA 28 XT
XTA-030 XTA 30 XT
XTA-031 XTA 31 XT
XTA-032 XTA 32 XT
XTA-033 XTA 33 XT
XTA-034 XTA 34 XT
XTA-035 XTA 35 XT
XTA-037 XTA 37 XT
XTA-038 XTA 38 XT
XTA-039 XTA 39 XT
XTA-040 XTA 40 XT
XTA-041 XTA 41 XT
XTA-042 XTA 42 XT
XTA-043 XTA 43 XT
XTA-050 XTA 50 XT
XTA-057 XTA 57 XT
XUA-008 XUA 8 XU
XUA-015 XUA 15 XU
XUA-022 XUA 22 XU
XUA-030 XUA 30 XU
XUA-031 XUA 31 XU
XUA-032 XUA 32 XU
XUA-033 XUA 33 XU
XUA-034 XUA 34 XU
XUA-035 XUA 35 XU
XUA-037 XUA 37 XU
XUA-038 XUA 38 XU
XUA-039 XUA 39 XU
XUA-040 XUA 40 XU
XUA-043 XUA 43 XU
XUA-050 XUA 50 XU
XUA-057 XUA 57 XU
XUA-221 XUA 221 XU
XUA-318 XUA 318 XU
XUA-397 XUA 397 XU
XUB-221 XUB 221 XU
XUB-319 XUB 319 XU
XUB-398 XUB 398 XU
XVA-009 XVA 9 XV
XVA-015 XVA 15 XV
XVA-022 XVA 22 XV
XVA-023 XVA 23 XV
XVA-024 XVA 24 XV
XVA-027 XVA 27 XV
XVA-030 XVA 30 XV
XVA-031 XVA 31 XV
XVA-032 XVA 32 XV
XVA-033 XVA 33 XV
XVA-034 XVA 34 XV
XVA-035 XVA 35 XV
XVA-037 XVA 37 XV
XVA-038 XVA 38 XV
XVA-039 XVA 39 XV
XVA-040 XVA 40 XV
XVA-041 XVA 41 XV
XVA-043 XVA 43 XV
XVA-050 XVA 50 XV
XVA-057 XVA 57 XV
XVA-216 XVA 216 XV
XVA-309 XVA 309 XV
XVA-398 XVA 398 XV
XVB-217 XVB 217 XV
XVB-310 XVB 310 XV
XVB-399 XVB 399 XV
YBA-360 YBA 360 YB
YBA-435 YBA 435 YB
YBA-522 YBA 522 YB
YBB-360 YBB 360 YB
YBB-435 YBB 435 YB
YBC-360 YBC 360 YB
YBC-435 YBC 435 YB
ZAA-415 ZAA 415 ZA
