sample annotationSample totalSpecies speciesShared numSpeciesShared relAbundanceSpeciesShared hh1 hh2 type
XAC-002 XOA-001 42 FALSE 31 0.5881324962201 XA XO diffHousehold
XAC-002 XOA-001 42 TRUE 11 0.40089902468233 XA XO diffHousehold
XAC-002 XOB-001 42 FALSE 18 0.21253134211986 XA XO diffHousehold
XAC-002 XOB-001 42 TRUE 24 0.77650017878257 XA XO diffHousehold
XAC-002 XPA-002 42 FALSE 22 0.2579934543636 XA XP diffHousehold
XAC-002 XPA-002 42 TRUE 20 0.73103806653883 XA XP diffHousehold
XAC-002 XPB-008 42 FALSE 18 0.20858347765985 XA XP diffHousehold
XAC-002 XPB-008 42 TRUE 24 0.78044804324258 XA XP diffHousehold
XAC-002 XQA-001 42 FALSE 14 0.28429583481673 XA XQ diffHousehold
XAC-002 XQA-001 42 TRUE 28 0.7047356860857 XA XQ diffHousehold
XAC-002 XQB-001 42 FALSE 20 0.2271873094435 XA XQ diffHousehold
XAC-002 XQB-001 42 TRUE 22 0.76184421145893 XA XQ diffHousehold
XAC-002 XRA-001 42 FALSE 20 0.28585356801894 XA XR diffHousehold
XAC-002 XRA-001 42 TRUE 22 0.70317795288349 XA XR diffHousehold
XAC-002 XRB-002 42 FALSE 20 0.22909478016898 XA XR diffHousehold
XAC-002 XRB-002 42 TRUE 22 0.75993674073345 XA XR diffHousehold
XAC-002 XSA-001 42 FALSE 28 0.62906385249904 XA XS diffHousehold
XAC-002 XSA-001 42 TRUE 14 0.35996766840339 XA XS diffHousehold
XAC-002 XSB-001 42 FALSE 15 0.34642400986248 XA XS diffHousehold
XAC-002 XSB-001 42 TRUE 27 0.64260751103995 XA XS diffHousehold
XAC-002 XTA-001 42 FALSE 16 0.19571298190257 XA XT diffHousehold
XAC-002 XTA-001 42 TRUE 26 0.79331853899986 XA XT diffHousehold
XAC-002 XTB-001 42 FALSE 12 0.18930106468024 XA XT diffHousehold
XAC-002 XTB-001 42 TRUE 30 0.79973045622219 XA XT diffHousehold
XAC-002 XUA-001 42 FALSE 13 0.18929041467856 XA XU diffHousehold
XAC-002 XUA-001 42 TRUE 29 0.79974110622387 XA XU diffHousehold
XAC-002 XUB-001 42 FALSE 17 0.19546659108347 XA XU diffHousehold
XAC-002 XUB-001 42 TRUE 25 0.79356492981896 XA XU diffHousehold
XAC-002 XVA-001 42 FALSE 23 0.53924964662419 XA XV diffHousehold
XAC-002 XVA-001 42 TRUE 19 0.44978187427824 XA XV diffHousehold
XAC-002 XVB-001 42 FALSE 21 0.23681187249789 XA XV diffHousehold
XAC-002 XVB-001 42 TRUE 21 0.75221964840454 XA XV diffHousehold
XAD-003 XAA-002 30 FALSE 19 0.18837607809189 XA XA sameHousehold
XAD-003 XAA-002 30 TRUE 11 0.80273729900783 XA XA sameHousehold
XAD-003 XAC-002 30 FALSE 18 0.39425953784308 XA XA sameHousehold
XAD-003 XAC-002 30 TRUE 12 0.59685383925664 XA XA sameHousehold
XAD-003 XAD-003 30 TRUE 30 0.99111337709972 XA XA sameSubject
XAD-003 XBA-001 30 FALSE 20 0.20141982552761 XA XB diffHousehold
XAD-003 XBA-001 30 TRUE 10 0.78969355157211 XA XB diffHousehold
XAD-003 XBB-001 30 FALSE 16 0.16162872991786 XA XB diffHousehold
XAD-003 XBB-001 30 TRUE 14 0.82948464718186 XA XB diffHousehold
XAD-003 XCA-001 30 FALSE 19 0.35028675026514 XA XC diffHousehold
XAD-003 XCA-001 30 TRUE 11 0.64082662683458 XA XC diffHousehold
XAD-003 XCB-001 30 FALSE 21 0.42091035447172 XA XC diffHousehold
XAD-003 XCB-001 30 TRUE 9 0.570203022628 XA XC diffHousehold
XAD-003 XDA-001 30 FALSE 19 0.18555720000494 XA XD diffHousehold
XAD-003 XDA-001 30 TRUE 11 0.80555617709478 XA XD diffHousehold
XAD-003 XDB-001 30 FALSE 17 0.15450306030968 XA XD diffHousehold
XAD-003 XDB-001 30 TRUE 13 0.83661031679004 XA XD diffHousehold
XAD-003 XEA-001 30 FALSE 20 0.47802322046704 XA XE diffHousehold
XAD-003 XEA-001 30 TRUE 10 0.51309015663268 XA XE diffHousehold
XAD-003 XEB-001 30 FALSE 22 0.4200682650253 XA XE diffHousehold
XAD-003 XEB-001 30 TRUE 8 0.57104511207442 XA XE diffHousehold
XAD-003 XFA-001 30 FALSE 17 0.15713140389449 XA XF diffHousehold
XAD-003 XFA-001 30 TRUE 13 0.83398197320523 XA XF diffHousehold
XAD-003 XFB-001 30 FALSE 21 0.41296845270008 XA XF diffHousehold
XAD-003 XFB-001 30 TRUE 9 0.57814492439964 XA XF diffHousehold
