species bait numPrivateSNPsTotal
Alistipes_onderdonkii_55464 XAA-014 503
Alistipes_onderdonkii_55464 XAA-021 479
Alistipes_onderdonkii_55464 XAA-022 506
Alistipes_onderdonkii_55464 XAA-023 464
Alistipes_onderdonkii_55464 XAA-024 486
Alistipes_onderdonkii_55464 XAA-026 507
Alistipes_onderdonkii_55464 XAA-027 493
Alistipes_onderdonkii_55464 XAA-028 433
Alistipes_onderdonkii_55464 XAA-623 874
Alistipes_onderdonkii_55464 XAA-652 1106
Alistipes_onderdonkii_55464 XCA-001 921
Alistipes_onderdonkii_55464 XCA-029 988
Alistipes_onderdonkii_55464 XCA-036 864
Alistipes_onderdonkii_55464 XCA-039 978
Alistipes_onderdonkii_55464 XCA-040 934
Alistipes_onderdonkii_55464 XCA-044 957
Alistipes_onderdonkii_55464 XCA-050 861
Alistipes_onderdonkii_55464 XCA-064 1006
Alistipes_onderdonkii_55464 XCA-258 1019
Alistipes_onderdonkii_55464 XCA-317 1022
Alistipes_onderdonkii_55464 XCA-409 932
Alistipes_onderdonkii_55464 XCA-604 1052
Alistipes_onderdonkii_55464 XCA-695 1019
Alistipes_onderdonkii_55464 XCA-805 1008
Alistipes_onderdonkii_55464 XCB-029 913
Alistipes_onderdonkii_55464 XCB-310 971
Alistipes_onderdonkii_55464 XDA-057 1598
Alistipes_onderdonkii_55464 XDA-064 1688
Alistipes_onderdonkii_55464 XDA-268 1802
Alistipes_onderdonkii_55464 XDA-330 1721
Alistipes_onderdonkii_55464 XDA-706 1789
Alistipes_onderdonkii_55464 XDA-816 1793
Alistipes_onderdonkii_55464 XEA-038 238
Alistipes_onderdonkii_55464 XEA-039 271
Alistipes_onderdonkii_55464 XEA-040 275
Alistipes_onderdonkii_55464 XEA-043 258
Alistipes_onderdonkii_55464 XEA-050 239
Alistipes_onderdonkii_55464 XEA-064 207
Alistipes_onderdonkii_55464 XEA-302 199
Alistipes_onderdonkii_55464 XEA-390 271
Alistipes_onderdonkii_55464 XEB-001 443
Alistipes_onderdonkii_55464 XEB-029 498
Alistipes_onderdonkii_55464 XEB-036 342
Alistipes_onderdonkii_55464 XEB-064 279
Alistipes_onderdonkii_55464 XFA-001 363
Alistipes_onderdonkii_55464 XFA-029 325
Alistipes_onderdonkii_55464 XFB-001 508
Alistipes_onderdonkii_55464 XFB-029 607
Alistipes_onderdonkii_55464 XFB-064 678
Alistipes_onderdonkii_55464 XFB-242 384
Alistipes_onderdonkii_55464 XFB-313 535
Alistipes_onderdonkii_55464 XGA-001 374
Alistipes_onderdonkii_55464 XGA-008 452
Alistipes_onderdonkii_55464 XGA-015 427
Alistipes_onderdonkii_55464 XGA-022 487
Alistipes_onderdonkii_55464 XGA-023 455
Alistipes_onderdonkii_55464 XGA-024 455
