sample1 sample2 value method subject timepoint
XHC-001 XHC-030 0.083819216045351 jsd XHC 30
XHC-001 XHC-031 0.0500678070265132 jsd XHC 31
XHC-001 XHC-032 0.0596736025592753 jsd XHC 32
XHC-001 XHC-033 0.0844122873584889 jsd XHC 33
XHC-001 XHC-034 0.0793031013449395 jsd XHC 34
XHC-001 XHC-035 0.0918842262158603 jsd XHC 35
XHC-001 XHC-036 0.129530699820647 jsd XHC 36
XHC-001 XHC-037 0.219403192641927 jsd XHC 37
XHC-001 XHC-038 0.132416028781304 jsd XHC 38
XHC-001 XHC-039 0.0636788307791934 jsd XHC 39
XHC-001 XHC-040 0.0510591672903138 jsd XHC 40
XHC-001 XHC-044 0.0418799116563836 jsd XHC 44
XHC-001 XHC-050 0.0660614491472844 jsd XHC 50
XHC-001 XHC-057 0.0649322684909561 jsd XHC 57
XHC-001 XHC-064 0.0431777691832177 jsd XHC 64
XIA-002 XIA-008 0.0317912933515695 jsd XIA 8
XIA-002 XIA-015 0.0620447261484738 jsd XIA 15
XIA-002 XIA-022 0.066803684959747 jsd XIA 22
XIA-002 XIA-023 0.0595041350883143 jsd XIA 23
XIA-002 XIA-024 0.0647659552205397 jsd XIA 24
XIA-002 XIA-025 0.0664067074474317 jsd XIA 25
XIA-002 XIA-026 0.0531532254194908 jsd XIA 26
XIA-002 XIA-027 0.0321354368009833 jsd XIA 27
XIA-002 XIA-028 0.0347140744563729 jsd XIA 28
XIA-002 XIA-029 0.0825887244194364 jsd XIA 29
XIA-002 XIA-030 0.235087650925388 jsd XIA 30
XIA-002 XIA-031 0.220477200733696 jsd XIA 31
XIA-002 XIA-032 0.323830254711555 jsd XIA 32
XIA-002 XIA-033 0.25443783729526 jsd XIA 33
XIA-002 XIA-034 0.215663205655867 jsd XIA 34
XIA-002 XIA-035 0.219213082365545 jsd XIA 35
XIA-002 XIA-036 0.205005102142376 jsd XIA 36
XIA-002 XIA-037 0.229537348032283 jsd XIA 37
XIA-002 XIA-038 0.222231835279654 jsd XIA 38
XIA-002 XIA-039 0.20269146921441 jsd XIA 39
XIA-002 XIA-040 0.162659758119395 jsd XIA 40
XIA-002 XIA-045 0.153988375504089 jsd XIA 45
XIA-002 XIA-050 0.149670204847593 jsd XIA 50
XIA-002 XIA-057 0.0724611068827747 jsd XIA 57
XIA-002 XIA-064 0.110990862895855 jsd XIA 64
XIA-002 XIA-199 0.202092688323812 jsd XIA 199
XIA-002 XIA-259 0.405677288785653 jsd XIA 259
XIA-002 XIA-277 0.289866278124559 jsd XIA 277
XIB-002 XIB-029 0.0253553155879321 jsd XIB 29
XIB-002 XIB-036 0.0302078919099117 jsd XIB 36
XIB-002 XIB-064 0.0428418275004048 jsd XIB 64
XIB-002 XIB-199 0.0751964760782172 jsd XIB 199
XIB-002 XIB-259 0.14295210546867 jsd XIB 259
