species subject1 subject2 sharedStrainFishing
Eubacterium_eligens_61678 XRA XRB FALSE
Eubacterium_eligens_61678 XTA XTB FALSE
Eubacterium_eligens_61678 XVA XVB FALSE
Eubacterium_eligens_61678 YAC YAD FALSE
Eubacterium_eligens_61678 YEA YEB FALSE
Eubacterium_eligens_61678 YEA YEC TRUE
Eubacterium_eligens_61678 YEB YEC FALSE
Eubacterium_eligens_61678 ZAA ZAB FALSE
Eubacterium_eligens_61678 ZAA ZAC FALSE
Eubacterium_eligens_61678 ZAB ZAC FALSE
Eubacterium_eligens_61678 ZCA ZCB FALSE
Eubacterium_eligens_61678 ZDA ZDB FALSE
Eubacterium_eligens_61678 ZEA ZEC FALSE
Eubacterium_hallii_61477 XIA XIB FALSE
Eubacterium_hallii_61477 XIB XIC FALSE
Eubacterium_hallii_61477 XMA XMB TRUE
Eubacterium_hallii_61477 XPA XPB FALSE
Eubacterium_hallii_61477 XQA XQB FALSE
Eubacterium_hallii_61477 XUA XUB TRUE
Eubacterium_hallii_61477 ZDA ZDB FALSE
Eubacterium_rectale_56927 XAA XAC FALSE
Eubacterium_rectale_56927 XBA XBB FALSE
Eubacterium_rectale_56927 XCA XCB FALSE
Eubacterium_rectale_56927 XDA XDB FALSE
Eubacterium_rectale_56927 XEA XEB FALSE
Eubacterium_rectale_56927 XFA XFB FALSE
Eubacterium_rectale_56927 XGA XGB FALSE
Eubacterium_rectale_56927 XGB XGC FALSE
Eubacterium_rectale_56927 XHB XHC FALSE
Eubacterium_rectale_56927 XIA XIB FALSE
Eubacterium_rectale_56927 XIA XIC FALSE
Eubacterium_rectale_56927 XIB XIC FALSE
Eubacterium_rectale_56927 XKA XKB FALSE
Eubacterium_rectale_56927 XMA XMB FALSE
Eubacterium_rectale_56927 XOA XOB FALSE
Eubacterium_rectale_56927 XQA XQB FALSE
Eubacterium_rectale_56927 XSA XSB FALSE
Eubacterium_rectale_56927 XTA XTB FALSE
Eubacterium_rectale_56927 XUA XUB FALSE
Eubacterium_rectale_56927 YAB YAC FALSE
Eubacterium_rectale_56927 YAB YAD FALSE
Eubacterium_rectale_56927 YBA YBB FALSE
Eubacterium_rectale_56927 YBA YBC FALSE
Eubacterium_rectale_56927 YBB YBC FALSE
Eubacterium_rectale_56927 YEA YEC FALSE
Eubacterium_rectale_56927 YEB YEC FALSE
Eubacterium_rectale_56927 ZAA ZAB FALSE
Eubacterium_rectale_56927 ZAA ZAC FALSE
Eubacterium_rectale_56927 ZAB ZAC FALSE
Eubacterium_rectale_56927 ZCA ZCB FALSE
Eubacterium_rectale_56927 ZDA ZDB TRUE
Eubacterium_rectale_56927 ZEA ZEB FALSE
Eubacterium_rectale_56927 ZEA ZEC FALSE
Eubacterium_rectale_56927 ZEB ZEC FALSE
Eubacterium_siraeum_57634 XFA XFB TRUE
Eubacterium_siraeum_57634 XQA XQB TRUE
Eubacterium_siraeum_57634 XVA XVB TRUE
Eubacterium_siraeum_57634 ZEA ZEC FALSE
