species_id subject1 strainSharedAnyTimepoint strainSharedPreAbx strainSharedPostAbx strainSharedMain strainSharedFollowup strainSharedPostAbxFollowup
Anaerostipes_hadrus_55206 ZAB TRUE NA NA NA TRUE TRUE
Anaerostipes_hadrus_55206 ZAC TRUE NA NA NA TRUE TRUE
Anaerostipes_hadrus_55206 ZCA TRUE NA NA NA TRUE TRUE
Anaerostipes_hadrus_55206 ZCB TRUE NA NA NA TRUE TRUE
Anaerostipes_hadrus_55206 ZDA FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 ZDB FALSE FALSE FALSE FALSE FALSE FALSE
Anaerostipes_hadrus_55206 ZEA FALSE FALSE NA FALSE NA NA
Anaerostipes_hadrus_55206 ZEB FALSE FALSE FALSE FALSE NA FALSE
Anaerostipes_hadrus_55206 ZEC FALSE FALSE FALSE FALSE NA FALSE
Bacteroidales_bacterium_58650 XCA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroidales_bacterium_58650 XCB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroidales_bacterium_58650 XEA FALSE FALSE NA FALSE NA NA
Bacteroidales_bacterium_58650 XEB FALSE FALSE NA FALSE NA NA
Bacteroidales_bacterium_58650 XIA FALSE FALSE NA FALSE NA NA
Bacteroidales_bacterium_58650 XIB FALSE FALSE FALSE FALSE NA FALSE
Bacteroidales_bacterium_58650 XIC FALSE FALSE FALSE FALSE NA FALSE
Bacteroidales_bacterium_58650 XLA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroidales_bacterium_58650 XLB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroidales_bacterium_58650 XTA FALSE FALSE FALSE FALSE NA FALSE
Bacteroidales_bacterium_58650 XTB FALSE FALSE FALSE FALSE NA FALSE
Bacteroidales_bacterium_58650 YAC FALSE FALSE FALSE FALSE NA FALSE
Bacteroidales_bacterium_58650 YAD FALSE FALSE FALSE FALSE NA FALSE
Bacteroidales_bacterium_58650 ZCA FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroidales_bacterium_58650 ZCB FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroidales_bacterium_58650 ZEA FALSE FALSE FALSE FALSE NA FALSE
Bacteroidales_bacterium_58650 ZEC FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_caccae_53434 XCA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_caccae_53434 XCB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_caccae_53434 XDA TRUE FALSE NA FALSE TRUE TRUE
Bacteroides_caccae_53434 XDB TRUE FALSE NA FALSE TRUE TRUE
Bacteroides_caccae_53434 XFA FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_caccae_53434 XFB FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_caccae_53434 XGB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_caccae_53434 XGC TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_caccae_53434 XHA FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_caccae_53434 XHB FALSE FALSE NA FALSE NA NA
Bacteroides_caccae_53434 XHC FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_caccae_53434 XIB TRUE NA TRUE TRUE TRUE TRUE
Bacteroides_caccae_53434 XIC TRUE NA TRUE TRUE TRUE TRUE
Bacteroides_caccae_53434 XPA FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_caccae_53434 XPB FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_caccae_53434 XRA FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_caccae_53434 XRB FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_caccae_53434 XTA FALSE FALSE NA FALSE NA NA
Bacteroides_caccae_53434 XTB FALSE FALSE NA FALSE NA NA
Bacteroides_caccae_53434 YAB TRUE TRUE FALSE TRUE NA FALSE
Bacteroides_caccae_53434 YAC FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_caccae_53434 YAD TRUE TRUE NA TRUE NA NA
Bacteroides_caccae_53434 YCA TRUE TRUE TRUE TRUE NA TRUE
Bacteroides_caccae_53434 YCB TRUE TRUE TRUE TRUE NA TRUE
Bacteroides_caccae_53434 YEA FALSE FALSE NA FALSE NA NA
Bacteroides_caccae_53434 YEB FALSE FALSE NA FALSE NA NA
Bacteroides_caccae_53434 YEC FALSE FALSE NA FALSE NA NA
Bacteroides_caccae_53434 ZAA TRUE NA NA NA TRUE TRUE
Bacteroides_caccae_53434 ZAC TRUE NA NA NA TRUE TRUE
Bacteroides_caccae_53434 ZDA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_caccae_53434 ZDB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_caccae_53434 ZEA FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_caccae_53434 ZEC FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_cellulosilyticus_58046 XBA FALSE FALSE NA FALSE FALSE FALSE
Bacteroides_cellulosilyticus_58046 XBB FALSE FALSE NA FALSE FALSE FALSE
