subject timepoint strain species_id relative_abundance strainFreq strainRelativeAbundance
XBA 455 strain1 Bifidobacterium_longum_57796 0.0178956092375 0 0
XBA 455 strain2 Bifidobacterium_longum_57796 0.0178956092375 1 0.0178956092375
XBA 455 strainUnknown Bifidobacterium_longum_57796 0.0178956092375 0 0
XBA 463 strain1 Bifidobacterium_longum_57796 0.0826460525991 0 0
XBA 463 strain2 Bifidobacterium_longum_57796 0.0826460525991 1 0.0826460525991
XBA 463 strainUnknown Bifidobacterium_longum_57796 0.0826460525991 0 0
XBA 470 strain1 Bifidobacterium_longum_57796 0.00754716913578 0 0
XBA 470 strain2 Bifidobacterium_longum_57796 0.00754716913578 0 0
XBA 470 strainUnknown Bifidobacterium_longum_57796 0.00754716913578 0 0.00754716913578
XBA 478 strain1 Bifidobacterium_longum_57796 0.0915064186365 0 0
XBA 478 strain2 Bifidobacterium_longum_57796 0.0915064186365 1 0.0915064186365
XBA 478 strainUnknown Bifidobacterium_longum_57796 0.0915064186365 0 0
XBA 482 strain1 Bifidobacterium_longum_57796 0.0518335114752 0 0
XBA 482 strain2 Bifidobacterium_longum_57796 0.0518335114752 1 0.0518335114752
XBA 482 strainUnknown Bifidobacterium_longum_57796 0.0518335114752 0 0
XBA 491 strain1 Bifidobacterium_longum_57796 0.0660146263156 0 0
XBA 491 strain2 Bifidobacterium_longum_57796 0.0660146263156 1 0.0660146263156
XBA 491 strainUnknown Bifidobacterium_longum_57796 0.0660146263156 0 0
XBA 513 strain1 Bifidobacterium_longum_57796 0.0583405552771 0 0
XBA 513 strain2 Bifidobacterium_longum_57796 0.0583405552771 1 0.0583405552771
XBA 513 strainUnknown Bifidobacterium_longum_57796 0.0583405552771 0 0
XBA 519 strain1 Bifidobacterium_longum_57796 0.0277494528879 0 0
XBA 519 strain2 Bifidobacterium_longum_57796 0.0277494528879 1 0.0277494528879
XBA 519 strainUnknown Bifidobacterium_longum_57796 0.0277494528879 0 0
XBA 534 strain1 Bifidobacterium_longum_57796 0.126823937748 0 0
XBA 534 strain2 Bifidobacterium_longum_57796 0.126823937748 1 0.126823937748
XBA 534 strainUnknown Bifidobacterium_longum_57796 0.126823937748 0 0
XBA 541 strain1 Bifidobacterium_longum_57796 0.0694401835886 0 0
XBA 541 strain2 Bifidobacterium_longum_57796 0.0694401835886 1 0.0694401835886
XBA 541 strainUnknown Bifidobacterium_longum_57796 0.0694401835886 0 0
XBA 550 strain1 Bifidobacterium_longum_57796 0.0954982753054 0 0
XBA 550 strain2 Bifidobacterium_longum_57796 0.0954982753054 1 0.0954982753054
XBA 550 strainUnknown Bifidobacterium_longum_57796 0.0954982753054 0 0
XBA 557 strain1 Bifidobacterium_longum_57796 0.047858466006 0 0
XBA 557 strain2 Bifidobacterium_longum_57796 0.047858466006 1 0.047858466006
XBA 557 strainUnknown Bifidobacterium_longum_57796 0.047858466006 0 0
XBA 568 strain1 Bifidobacterium_longum_57796 0.206313684604 0 0
XBA 568 strain2 Bifidobacterium_longum_57796 0.206313684604 1 0.206313684604
